merchant_id,status_conta,status_seller,dias_desde_ativacao,idade_loja_dias,gmv_ultimos_30d,gmv_ultimos_90d,numero_vendas_30d,numero_vendas_90d,usa_nuvem_marketing,usa_nuvem_chat,usa_concorrente
100001,ativo,no-seller,57,223,0,0,0,0,sim,sim,nao
100002,ativo,struggling-seller,5,44,126,235,1,2,nao,nao,nao
100003,ativo,no-seller,104,1540,0,0,0,0,sim,sim,nao
100004,ativo,tiny-seller,549,1365,910,2503,4,10,nao,nao,sim
100005,ativo,no-seller,162,226,0,0,0,0,nao,nao,nao
100006,ativo,struggling-seller,73,1157,192,993,1,5,nao,sim,nao
100007,ativo,no-seller,58,61,0,0,0,0,nao,nao,nao
100008,ativo,no-seller,469,2609,0,0,0,0,sim,nao,nao
100009,ativo,tiny-seller,298,438,1853,6797,5,19,nao,nao,nao
100010,ativo,no-seller,11,715,0,0,0,0,nao,sim,nao
100011,ativo,tiny-seller,150,301,775,3023,5,20,nao,nao,nao
100012,ativo,no-seller,543,2984,0,0,0,0,nao,nao,nao
100013,ativo,no-seller,314,3328,0,0,0,0,nao,nao,nao
100014,ativo,struggling-seller,778,1852,207,1027,1,5,nao,nao,nao
100015,cancelado,struggling-seller,264,456,166,351,2,4,nao,nao,sim
100016,ativo,struggling-seller,33,164,414,1261,2,6,nao,nao,nao
100017,cancelado,no-seller,173,394,0,0,0,0,nao,sim,nao
100018,ativo,no-seller,118,138,0,0,0,0,nao,nao,nao
100019,ativo,struggling-seller,34,53,0,237,0,1,nao,nao,nao
100020,ativo,no-seller,569,3023,0,0,0,0,nao,nao,nao
100021,ativo,no-seller,62,1395,0,0,0,0,nao,sim,nao
100022,ativo,tiny-seller,65,119,465,1536,3,9,sim,nao,nao
100023,ativo,no-seller,321,1100,0,0,0,0,nao,nao,nao
100024,ativo,no-seller,74,1477,0,0,0,0,sim,nao,nao
100025,ativo,struggling-seller,135,596,245,712,1,3,sim,nao,nao
100026,ativo,small-seller,14,102,12865,42199,44,144,nao,nao,sim
100027,ativo,no-seller,8,31,0,0,0,0,nao,nao,nao
100028,ativo,no-seller,4,34,0,0,0,0,nao,nao,nao
100029,ativo,no-seller,440,713,0,0,0,0,sim,nao,nao
100030,ativo,tiny-seller,215,2472,2028,4410,12,28,nao,nao,nao
100031,trial,struggling-seller,210,291,534,1508,2,6,nao,nao,nao
100032,ativo,no-seller,84,146,0,0,0,0,nao,sim,nao
100033,ativo,struggling-seller,549,1140,221,635,1,3,nao,nao,nao
100034,ativo,struggling-seller,181,202,80,308,1,4,nao,nao,nao
100035,ativo,no-seller,209,262,0,0,0,0,nao,nao,nao
100036,ativo,struggling-seller,89,357,361,912,2,5,nao,nao,nao
100037,churnado,struggling-seller,290,1058,191,1053,1,5,nao,nao,nao
100038,ativo,small-seller,735,778,12602,32702,49,120,nao,nao,nao
100039,ativo,small-seller,17,94,22602,53522,57,133,nao,nao,nao
100040,ativo,no-seller,652,1477,0,0,0,0,nao,nao,nao
100041,ativo,no-seller,240,1289,0,0,0,0,nao,nao,nao
100042,ativo,no-seller,723,1201,0,0,0,0,nao,nao,nao
100043,ativo,no-seller,398,1965,0,0,0,0,nao,nao,nao
100044,ativo,tiny-seller,3,359,2153,4856,8,18,nao,nao,nao
100045,ativo,tiny-seller,478,1339,1299,3052,5,11,nao,nao,nao
100046,ativo,small-seller,212,227,7535,18067,34,84,nao,nao,nao
100047,trial,no-seller,85,97,0,0,0,0,sim,nao,nao
100048,ativo,no-seller,765,871,0,0,0,0,nao,nao,nao
100049,ativo,struggling-seller,589,2742,415,1298,2,6,nao,nao,nao
100050,ativo,no-seller,379,661,0,0,0,0,sim,nao,sim
100051,ativo,no-seller,185,447,0,0,0,0,nao,nao,nao
100052,ativo,struggling-seller,276,3109,441,1202,2,5,nao,nao,nao
100053,ativo,no-seller,20,42,0,0,0,0,nao,nao,nao
100054,ativo,small-seller,282,1233,9288,24336,39,102,nao,sim,nao
100055,ativo,no-seller,484,795,0,0,0,0,nao,nao,nao
100056,ativo,no-seller,156,485,0,0,0,0,nao,nao,nao
100057,ativo,struggling-seller,189,1532,97,206,1,2,sim,sim,nao
100058,ativo,medium-seller,714,715,34082,80967,124,280,nao,sim,sim
100059,ativo,struggling-seller,155,1169,236,448,1,2,nao,nao,nao
100060,ativo,no-seller,61,758,0,0,0,0,nao,nao,nao
100061,ativo,no-seller,160,1064,0,0,0,0,nao,nao,nao
100062,ativo,struggling-seller,33,518,149,280,1,2,nao,sim,nao
100063,ativo,no-seller,7,108,0,0,0,0,sim,nao,nao
100064,ativo,no-seller,88,96,0,0,0,0,nao,nao,nao
